ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
d20bvamba1919-iron-1-1,d20bvamba1919-iron-1,Ki-ɯma,iron-26,false,expert,,,,
d20bvamba1919-knee-1-1,d20bvamba1919-knee-1,Kuru,knee-14,false,expert,,,,
d20bvamba1919-knife-1-1,d20bvamba1919-knife-1,Mu-hiɯ,knife-26,false,expert,,,,
d20bvamba1919-leg-1-1,d20bvamba1919-leg-1,N-sume,leg-17,false,expert,,,,
d20bvamba1919-moon-1-1,d20bvamba1919-moon-1,Mu-epi,moon-18,false,expert,,,,
d20bvamba1919-mouth-1-1,d20bvamba1919-mouth-1,Mu-nwa,mouth-6,false,expert,,,,
d20bvamba1919-name-1-1,d20bvamba1919-name-1,L-inya,name-4,false,expert,,,,
d20bvamba1919-navel-1-1,d20bvamba1919-navel-1,Mu-kunde,navel-12,false,expert,,,,
d20bvamba1919-neck-1-1,d20bvamba1919-neck-1,Vi-kia,neck-16,false,expert,,,,
d20bvamba1919-night-1-1,d20bvamba1919-night-1,M-kirɯ,night-22,false,expert,,,,
d20bvamba1919-nose-1-1,d20bvamba1919-nose-1,Mu-hure,nose-18,false,expert,,,,
d20bvamba1919-one-1-1,d20bvamba1919-one-1,Ki.moi,one-12,false,expert,,,,
d20bvamba1919-rain-1-1,d20bvamba1919-rain-1,M-bura,rain-4,false,expert,,,,
d20bvamba1919-road-1-1,d20bvamba1919-road-1,Ci-handɯ,road-22,false,expert,,,,
d20bvamba1919-salt-1-1,d20bvamba1919-salt-1,Ki-sura,salt-19,false,expert,,,,
d20bvamba1919-skin-1-1,d20bvamba1919-skin-1,Ki-kɯba,skin-1,false,expert,,,,
d20bvamba1919-sky-1-1,d20bvamba1919-sky-1,I -guru,sky-3,false,expert,,,,
d20bvamba1919-sleep-1-1,d20bvamba1919-sleep-1,N-dañgale,sleep-17,false,expert,,,,
d20bvamba1919-smoke-1-1,d20bvamba1919-smoke-1,Mu-ika,smoke-21,false,expert,,,,
d20bvamba1919-snake-1-1,d20bvamba1919-snake-1,N-jɯka,snake-1,false,expert,,,,
d20bvamba1919-spear-1-1,d20bvamba1919-spear-1,I-timmɯ,spear-5,false,expert,,,,
d20bvamba1919-stone-1-1,d20bvamba1919-stone-1,I -vale,stone-21,false,expert,,,,
d20bvamba1919-sun-1-1,d20bvamba1919-sun-1,M-sana,sun-38,false,expert,,,,
d20bvamba1919-tail-1-1,d20bvamba1919-tail-1,Mu-kira,tail-6,false,expert,,,,
d20bvamba1919-three-1-1,d20bvamba1919-three-1,satu,three-1,false,expert,,,,
d20bvamba1919-tongue-1-1,d20bvamba1919-tongue-1,Ki-remi,tongue-1,false,expert,,,,
d20bvamba1919-tooth-1-1,d20bvamba1919-tooth-1,M-enɯ,tooth-3,false,expert,,,,
